  35 11434
  35 11422
  35 11420
  35 11412
  35 11412
  35 11411
  35 11377
  35 11367
  35 11367
  35 11367
  35 11365
  35 11365
  35 11362
  35 11358
  35 11231
  35 11230
  35 11215
  35 11214
  35 11204
  35 10312
  35 10301
  34 11691
  34 11691
  34 11436
  34 11434
  34 11432
  34 11412
  34 11412
  34 11364
  34 11364
  34 11235
  34 11230
  34 11223
  34 11221
  34 11220
  34 11217
  34 11212
  34 11201
  34 11201
  34 11105
  34 10473
  34 10466
  34 10460
  34 10457
  34 10456
  34 10301
  34 10301
  33 Yes
  33 11435
  33 11412
  33 11411
  33 11411
  33 11411
  33 11385
  33 11367
  33 11364
  33 11362
  33 11358
  33 11357
  33 11354
  33 11238
  33 11230
  33 11218
  33 11217
  33 11212
  33 11209
  33 11209
  33 11208
  33 11104
  33 10473
  33 10469
  33 10469
  33 10461
  33 10308
  33 10301
  32 Yes
  32 11435
  32 11432
  32 11422
  32 11412
  32 11377
  32 11375
  32 11375
  32 11375
  32 11367
  32 11367
  32 11366
  32 11365
  32 11364
  32 11357
  32 11357
  32 11357
  32 11355
  32 11354
  32 11239
  32 11238
  32 11238
  32 11235
  32 11234
  32 11230
  32 11228
  32 11228
  32 11221
  32 11219
  32 11217
  32 11214
  32 11212
  32 11209
  32 11204
  32 10469
  32 10465
  32 10465
  32 10458
  32 10456
  32 10314
  32 10312
  32 10305
  31 11691
  31 11432
  31 11432
  31 11422
  31 11422
  31 11422
  31 11420
  31 11420
  31 11419
  31 11412
  31 11377
  31 11377
  31 11375
  31 11367
  31 11367
  31 11367
  31 11362
  31 11354
  31 11238
  31 11234
  31 11230
  31 11225
  31 11225
  31 11219
  31 11218
  31 11218
  31 11217
  31 11214
  31 11211
  31 11211
  31 11208
  31 11208
  31 10473
  31 10469
  31 10469
  31 10465
  31 10465
  31 10465
  31 10451
  31 10314
  31 10308
  31 10308
  31 10306
  31 10301
  31 10301
  31 10023
  30 No
  30 11693
  30 11693
  30 11435
  30 11435
  30 11432
  30 11432
  30 11426
  30 11426
  30 11426
  30 11422
  30 11422
  30 11420
  30 11420
  30 11412
  30 11411
  30 11411
  30 11385
  30 11377
  30 11367
  30 11367
  30 11361
  30 11358
  30 11357
  30 11354
  30 11235
  30 11218
  30 11218
  30 11215
  30 11212
  30 11207
  30 11105
  30 10473
  30 10469
  30 10461
  30 10314
  30 10310
  30 10306
  30 10301
  29 11691
  29 11435
  29 11434
  29 11433
  29 11432
  29 11426
  29 11414
  29 11413
  29 11413
  29 11385
  29 11375
  29 11375
  29 11370
  29 11367
  29 11365
  29 11364
  29 11362
  29 11362
  29 11361
  29 11236
  29 11233
